"","Protection","Cap","Fusion","GP1/2","GP1/Core","GP1/Head","Mucin","Unknown","Neut_micro","GP_EC50","sGP_EC50","human","mouse","IgG2a","IgG2b","IgG3","HumanIgG1","MouseIgG1","All","BDBV & RESTV","BDBV & SUDV","BDBV only","BDBV, SUDV, RESTV ","None","RESTV only","SUDV & RESTV","SUDV only","Polyfunctionality","huADCP","mADCP","CD107a","IFNg","MIP.1b","huADNP","mADNP","sGP_huADCP","sGP_huADNP","Total_G0","Total_G1","Total_G2","Total_Fucose","Total_Bisecting","Total_SA","G0","G0F","G0FB","G1","G1.","G1F","G1F.","G1S1F","G1FB","G2F","G2FB","G2S1","G2S1F","G2S1B","G2S1FB","sGP.binderTRUE"
"Protection",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.299248429669071,0.334681616622994,NA,NA,0.31386012876084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.303877426190361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.343086520208794,NA,NA,NA
"Cap",NA,1,NA,NA,-0.294883912309794,NA,NA,NA,NA,NA,-0.569150540064069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.366237399100622,NA,NA,NA,NA,NA,NA,0.544210075117716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.571428571428571
"Fusion",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.284067925525857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GP1/2",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.339460634653367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.306375616436879,NA,NA,NA,NA,NA,NA,-0.334277224891386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.349049341838621
"GP1/Core",NA,-0.294883912309794,NA,NA,1,NA,NA,-0.285386041874002,NA,NA,-0.502413713919986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.290723653190773,-0.348361343703916,NA,NA,NA,NA,-0.30386941837853,0.29577849937125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.589767824619589
"GP1/Head",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.284067925525857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mucin",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.411420637352844,-0.288292728201125,0.288292728201125,0.286723027499661,NA,NA,-0.288292728201125,NA,NA,NA,NA,NA,NA,0.317372370560967,NA,NA,NA,0.398992847454436,0.377519050421485,0.372054146481527,NA,NA,NA,0.472589514948543,0.326163347469792,-0.382980846818723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.376503863998505,NA,-0.342779267814452,NA,NA,NA,NA,-0.451405719157025
"Unknown",NA,NA,NA,NA,-0.285386041874002,NA,NA,1,NA,NA,0.438515984142187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.352658224979499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.483895577141871
"Neut_micro",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.311142462961297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.357650205332835,NA,NA,NA,NA,NA,0.390976462248288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GP_EC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.493027902225591,NA,-0.452534263986511,NA,NA,-0.296540261250825,-0.432428882248452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sGP_EC50",NA,-0.569150540064069,NA,0.339460634653367,-0.502413713919986,NA,0.411420637352844,0.438515984142187,NA,NA,1,-0.287338136731375,0.287338136731375,NA,NA,NA,-0.287338136731375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.750172990670349,-0.439361685879132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9246393887125
"human",NA,NA,NA,NA,NA,NA,-0.288292728201125,NA,NA,NA,-0.287338136731375,1,-1,-0.644658371220304,-0.285714285714286,NA,1,-0.398913533529853,NA,NA,NA,NA,NA,-0.388449298033678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.390070263555204,NA,0.34549080486318,0.516950261370962,-0.588960809082972,NA,-0.431654511561152,0.420507778524778,-0.307768457730403,0.369183498157045,0.414504942117387,NA,NA,NA,NA,-0.490372027358748,-0.451831002282505,0.67183069007172,NA,0.297678249582015,0.511033319109717,-0.390076685469142,NA,0.37131824564906,NA
"mouse",NA,NA,NA,NA,NA,NA,0.288292728201125,NA,NA,NA,0.287338136731375,-1,1,0.644658371220304,0.285714285714286,NA,-1,0.398913533529853,NA,NA,NA,NA,NA,0.388449298033678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.390070263555204,NA,-0.34549080486318,-0.516950261370962,0.588960809082972,NA,0.431654511561152,-0.420507778524778,0.307768457730403,-0.369183498157045,-0.414504942117387,NA,NA,NA,NA,0.490372027358748,0.451831002282505,-0.67183069007172,NA,-0.297678249582015,-0.511033319109717,0.390076685469142,NA,-0.37131824564906,NA
"IgG2a",NA,NA,NA,NA,NA,NA,0.286723027499661,NA,0.311142462961297,NA,NA,-0.644658371220304,0.644658371220304,1,NA,NA,-0.644658371220304,NA,NA,NA,NA,NA,-0.291002475671298,0.438229910601107,NA,NA,NA,NA,0.378643833805718,0.468104371126536,NA,NA,NA,NA,0.489383856719523,NA,-0.307073862664918,-0.339473782032713,0.490349000332962,NA,NA,NA,NA,NA,-0.284830314202939,NA,NA,NA,-0.532424746922642,0.576426043783916,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IgG2b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.285714285714286,0.285714285714286,NA,1,NA,-0.285714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.380639993447276,NA,NA,-0.297494401473347,NA,NA,NA,NA,NA,-0.389212966272665,NA,0.377212356838988,NA,-0.383215039756525,NA,NA,-0.358351738997038,-0.332658729677504,NA,NA,NA,NA,NA,-0.302688236879792,0.39264215540282,NA,NA,NA,NA,NA,NA
"IgG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanIgG1",NA,NA,NA,NA,NA,NA,-0.288292728201125,NA,NA,NA,-0.287338136731375,1,-1,-0.644658371220304,-0.285714285714286,NA,1,-0.398913533529853,NA,NA,NA,NA,NA,-0.388449298033678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.390070263555204,NA,0.34549080486318,0.516950261370962,-0.588960809082972,NA,-0.431654511561152,0.420507778524778,-0.307768457730403,0.369183498157045,0.414504942117387,NA,NA,NA,NA,-0.490372027358748,-0.451831002282505,0.67183069007172,NA,0.297678249582015,0.511033319109717,-0.390076685469142,NA,0.37131824564906,NA
"MouseIgG1",NA,NA,0.284067925525857,NA,NA,0.284067925525857,NA,NA,NA,NA,NA,-0.398913533529853,0.398913533529853,NA,NA,NA,-0.398913533529853,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.327748372842726,-0.336234496645539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.299022654539127,NA,0.494925689791947,-0.361772859821656,NA,NA,-0.299070664104918,NA,NA,NA,NA
"All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BDBV & RESTV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BDBV & SUDV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BDBV only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,-0.349215147884789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.327629555317146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BDBV, SUDV, RESTV ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.291002475671298,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.539533029953643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"None",NA,NA,NA,NA,NA,NA,0.317372370560967,NA,NA,NA,NA,-0.388449298033678,0.388449298033678,0.438229910601107,NA,NA,-0.388449298033678,NA,NA,NA,NA,-0.349215147884789,-0.539533029953643,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.288342266349362,NA,NA,NA,-0.320619385716828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESTV only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUDV & RESTV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUDV only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polyfunctionality",0.299248429669071,NA,NA,-0.306375616436879,NA,NA,0.398992847454436,NA,NA,-0.493027902225591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.717123994742974,0.655245989694687,0.431954123535586,0.305672673958241,0.554342885786309,0.633558236927724,0.619033174398863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"huADCP",0.334681616622994,0.366237399100622,NA,NA,-0.290723653190773,NA,0.377519050421485,NA,0.357650205332835,NA,NA,NA,NA,0.378643833805718,-0.380639993447276,NA,NA,-0.327748372842726,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.717123994742974,1,0.529022220946247,NA,NA,0.294396312248483,0.464200457743882,0.589592045042968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.313170101292128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mADCP",NA,NA,NA,NA,-0.348361343703916,NA,0.372054146481527,NA,NA,-0.452534263986511,NA,NA,NA,0.468104371126536,NA,NA,NA,-0.336234496645539,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.655245989694687,0.529022220946247,1,NA,NA,NA,0.434391784916957,0.594676687154426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.445293207351032,0.346997571716673,NA,NA,NA,-0.312533788624911,NA,NA,NA,NA,NA
"CD107a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.431954123535586,NA,NA,1,0.532961514733021,0.653296674035371,NA,0.331729502978646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IFNg",0.31386012876084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.297494401473347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.305672673958241,NA,NA,0.532961514733021,1,0.520009878588375,NA,NA,NA,NA,NA,-0.322622335786438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.330738931598987,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIP.1b",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.296540261250825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.554342885786309,0.294396312248483,NA,0.653296674035371,0.520009878588375,1,0.416675927415748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"huADNP",NA,NA,NA,NA,NA,NA,0.472589514948543,NA,NA,-0.432428882248452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.633558236927724,0.464200457743882,0.434391784916957,NA,NA,0.416675927415748,1,0.303440015845933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mADNP",NA,NA,NA,-0.334277224891386,-0.30386941837853,NA,0.326163347469792,NA,0.390976462248288,NA,NA,-0.390070263555204,0.390070263555204,0.489383856719523,NA,NA,-0.390070263555204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.619033174398863,0.589592045042968,0.594676687154426,0.331729502978646,NA,NA,0.303440015845933,1,NA,NA,-0.447293470745119,0.445044429540048,NA,NA,NA,NA,NA,-0.396218416496131,NA,NA,NA,NA,0.500302507731561,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sGP_huADCP",NA,0.544210075117716,NA,NA,0.29577849937125,NA,-0.382980846818723,-0.352658224979499,NA,NA,-0.750172990670349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.424638534137581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.720126753463896
"sGP_huADNP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.439361685879132,0.34549080486318,-0.34549080486318,-0.307073862664918,NA,NA,0.34549080486318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.424638534137581,1,0.327681011491225,-0.339384859799803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.382756647970678,NA,NA,NA,NA,NA,NA,NA,NA,0.362636750513959
"Total_G0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.516950261370962,-0.516950261370962,-0.339473782032713,-0.389212966272665,NA,0.516950261370962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.447293470745119,NA,0.327681011491225,1,-0.876144693363363,-0.684068206799309,-0.408099932120093,NA,NA,NA,0.838072660080277,NA,NA,NA,NA,-0.801312101550605,NA,NA,-0.789988805110138,NA,0.341154585405863,NA,0.319464983052292,NA,NA
"Total_G1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.588960809082972,0.588960809082972,0.490349000332962,NA,NA,-0.588960809082972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.322622335786438,NA,NA,0.445044429540048,NA,-0.339384859799803,-0.876144693363363,1,0.318865035735672,0.448046228751153,NA,-0.302053751491954,NA,-0.718489677677366,NA,NA,NA,NA,0.90023459686381,NA,NA,0.587556437245941,NA,-0.40308074126433,NA,-0.325083172425567,NA,NA
"Total_G2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.377212356838988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.684068206799309,0.318865035735672,1,NA,NA,0.304789108041013,NA,-0.52500761423409,NA,NA,NA,NA,NA,NA,NA,0.706762646785178,NA,NA,0.427991093326667,NA,NA,NA
"Total_Fucose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.431654511561152,0.431654511561152,NA,NA,NA,-0.431654511561152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.408099932120093,0.448046228751153,NA,1,-0.426299477701861,NA,-0.566685082787387,NA,NA,-0.314842511571288,-0.320899027194368,NA,0.398384959266389,NA,NA,0.339530385060764,NA,-0.708897816188088,NA,-0.589547157945337,NA,NA
"Total_Bisecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.420507778524778,-0.420507778524778,NA,-0.383215039756525,NA,0.420507778524778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.426299477701861,1,NA,NA,NA,0.748610804455249,NA,NA,NA,NA,NA,0.643107094838785,NA,0.465466355561104,0.486213914710964,NA,0.416494799950435,0.5989790068561,NA
"Total_SA",-0.303877426190361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.307768457730403,0.307768457730403,NA,NA,NA,-0.307768457730403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.302053751491954,0.304789108041013,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.374408363172408,0.619164439224965,-0.294773161334059,-0.329581139983612,NA,NA,0.832309180510857,NA,NA,NA
"G0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.369183498157045,-0.369183498157045,NA,NA,NA,0.369183498157045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.566685082787387,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.381191810988104,NA,NA,0.511861188311896,-0.407115261278307,NA,NA,NA
"G0F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.414504942117387,-0.414504942117387,-0.284830314202939,-0.358351738997038,NA,0.414504942117387,NA,NA,NA,NA,NA,NA,-0.288342266349362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.396218416496131,NA,NA,0.838072660080277,-0.718489677677366,-0.52500761423409,NA,NA,NA,NA,1,NA,NA,NA,NA,-0.658432386180155,NA,NA,-0.67030502085213,NA,NA,NA,NA,NA,NA
"G0FB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.332658729677504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.748610804455249,NA,NA,NA,1,NA,NA,NA,NA,NA,0.382275690652929,NA,NA,NA,NA,NA,0.294787079791235,NA
"G1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.314842511571288,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.320899027194368,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G1F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.532424746922642,NA,NA,NA,0.299022654539127,NA,NA,NA,0.327629555317146,NA,-0.320619385716828,NA,NA,NA,NA,-0.313170101292128,-0.445293207351032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.488086859536498,0.376871423063907,NA,NA,NA,NA,NA
"G1F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.490372027358748,0.490372027358748,0.576426043783916,NA,NA,-0.490372027358748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.346997571716673,NA,-0.330738931598987,NA,NA,0.500302507731561,NA,-0.382756647970678,-0.801312101550605,0.90023459686381,NA,0.398384959266389,NA,-0.374408363172408,NA,-0.658432386180155,NA,NA,NA,NA,1,NA,NA,0.550769851302567,NA,NA,NA,-0.286919946039049,NA,NA
"G1S1F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.451831002282505,0.451831002282505,NA,NA,NA,-0.451831002282505,0.494925689791947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.619164439224965,NA,NA,NA,NA,NA,NA,NA,1,-0.477894108025824,NA,NA,-0.291784167177282,0.409936406140601,NA,NA,NA
"G1FB",NA,NA,NA,NA,NA,NA,-0.376503863998505,NA,NA,NA,NA,0.67183069007172,-0.67183069007172,NA,-0.302688236879792,NA,0.67183069007172,-0.361772859821656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.643107094838785,-0.294773161334059,0.381191810988104,NA,0.382275690652929,NA,NA,NA,NA,-0.477894108025824,1,NA,0.440434552008517,0.466538756478742,NA,NA,0.430946235248079,NA
"G2F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39264215540282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.789988805110138,0.587556437245941,0.706762646785178,0.339530385060764,NA,-0.329581139983612,NA,-0.67030502085213,NA,NA,NA,0.488086859536498,0.550769851302567,NA,NA,1,NA,NA,NA,-0.295924721282257,NA,NA
"G2FB",NA,NA,NA,NA,NA,NA,-0.342779267814452,NA,NA,NA,NA,0.297678249582015,-0.297678249582015,NA,NA,NA,0.297678249582015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.312533788624911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465466355561104,NA,NA,NA,NA,NA,NA,0.376871423063907,NA,NA,0.440434552008517,NA,1,NA,NA,NA,0.344191473141024,NA
"G2S1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.511033319109717,-0.511033319109717,NA,NA,NA,0.511033319109717,-0.299070664104918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.341154585405863,-0.40308074126433,NA,-0.708897816188088,0.486213914710964,NA,0.511861188311896,NA,NA,NA,NA,NA,NA,-0.291784167177282,0.466538756478742,NA,NA,1,NA,0.482111316340278,0.339104908118479,NA
"G2S1F",-0.343086520208794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.390076685469142,0.390076685469142,NA,NA,NA,-0.390076685469142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.427991093326667,NA,NA,0.832309180510857,-0.407115261278307,NA,NA,NA,NA,NA,NA,0.409936406140601,NA,NA,NA,NA,1,NA,NA,NA
"G2S1B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.319464983052292,-0.325083172425567,NA,-0.589547157945337,0.416494799950435,NA,NA,NA,NA,NA,NA,NA,-0.286919946039049,NA,NA,-0.295924721282257,NA,0.482111316340278,NA,1,NA,NA
"G2S1FB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37131824564906,-0.37131824564906,NA,NA,NA,0.37131824564906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5989790068561,NA,NA,NA,0.294787079791235,NA,NA,NA,NA,NA,0.430946235248079,NA,0.344191473141024,0.339104908118479,NA,NA,1,NA
"sGP.binderTRUE",NA,0.571428571428571,NA,-0.349049341838621,0.589767824619589,NA,-0.451405719157025,-0.483895577141871,NA,NA,-0.9246393887125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.720126753463896,0.362636750513959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
